loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_mean,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,target
19400.0,36.0,17.99,701.26,D,D2,0.0,RENT,50900.0,Source Verified,debt_consolidation,15.11,0.0,662.0,1.0,13.0,1.0,6966.0,31.1,29.0,1
10000.0,36.0,12.29,333.53,C,C1,10.0,RENT,32000.0,Source Verified,debt_consolidation,34.36,0.0,667.0,0.0,12.0,1.0,24637.0,71.2,22.0,1
29250.0,60.0,18.24,746.59,D,D5,10.0,OWN,120000.0,Verified,debt_consolidation,26.03,0.0,687.0,1.0,20.0,0.0,47583.0,72.4,40.0,0
1300.0,36.0,8.24,40.89,B,B1,10.0,RENT,66000.0,Source Verified,debt_consolidation,19.64,0.0,667.0,0.0,12.0,0.0,16256.0,91.8,30.0,1
7000.0,36.0,11.89,232.15,B,B4,1.0,RENT,108000.0,Source Verified,house,7.04,0.0,792.0,5.0,4.0,0.0,2759.0,11.0,14.0,0
9000.0,36.0,12.99,303.21,C,C1,0.0,RENT,46000.0,Not Verified,debt_consolidation,14.09,0.0,677.0,3.0,6.0,0.0,6911.0,47.0,24.0,0
9925.0,36.0,12.99,334.37,C,C2,0.0,MORTGAGE,72198.0,Verified,other,11.54,0.0,672.0,0.0,14.0,0.0,9475.0,96.7,23.0,0
12000.0,60.0,13.18,274.15,C,C3,3.0,RENT,80000.0,Not Verified,debt_consolidation,18.86,0.0,722.0,0.0,26.0,1.0,4931.0,32.0,42.0,0
5000.0,36.0,7.68,155.96,A,A2,1.0,MORTGAGE,40308.0,Not Verified,car,5.78,0.0,802.0,0.0,10.0,0.0,5312.0,7.2,19.0,0
10000.0,36.0,10.99,327.34,B,B3,6.0,RENT,40000.0,Source Verified,debt_consolidation,14.88,0.0,692.0,0.0,8.0,0.0,7179.0,63.5,24.0,0
20000.0,36.0,11.99,664.2,C,C1,10.0,MORTGAGE,80000.0,Verified,debt_consolidation,15.24,2.0,662.0,1.0,9.0,0.0,10781.0,46.7,31.0,0
23425.0,36.0,11.99,777.94,B,B5,9.0,MORTGAGE,51000.0,Verified,credit_card,35.76,0.0,702.0,2.0,11.0,0.0,39437.0,54.5,21.0,0
17000.0,36.0,5.32,511.96,A,A1,7.0,MORTGAGE,150000.0,Not Verified,debt_consolidation,9.66,0.0,752.0,1.0,18.0,3.0,7003.0,17.9,33.0,0
7200.0,36.0,14.11,246.45,D,D1,1.0,OWN,42996.0,Not Verified,other,13.62,0.0,702.0,1.0,3.0,0.0,1621.0,40.5,6.0,0
18000.0,36.0,5.31,541.99,A,A1,10.0,MORTGAGE,95000.0,Not Verified,debt_consolidation,1.31,0.0,782.0,0.0,5.0,0.0,5421.0,12.5,25.0,0
10000.0,36.0,13.49,339.31,C,C2,5.0,MORTGAGE,86000.0,Verified,debt_consolidation,14.58,0.0,687.0,2.0,11.0,0.0,82908.0,56.8,28.0,0
5500.0,36.0,12.99,185.3,C,C2,8.0,OWN,45000.0,Not Verified,credit_card,20.54,0.0,672.0,0.0,20.0,0.0,11420.0,63.1,49.0,0
14000.0,36.0,9.49,448.4,B,B2,10.0,OWN,55000.0,Source Verified,debt_consolidation,31.92,0.0,707.0,1.0,15.0,0.0,18685.0,47.2,37.0,0
5000.0,60.0,13.61,115.34,C,C2,3.0,RENT,45000.0,Verified,other,21.81,0.0,717.0,2.0,10.0,0.0,0.0,0.0,16.0,1
4500.0,36.0,10.74,146.78,B,B4,0.0,RENT,50000.0,Not Verified,wedding,12.82,5.0,677.0,0.0,9.0,0.0,713.0,39.6,14.0,0
8000.0,36.0,7.69,249.55,A,A4,10.0,MORTGAGE,45000.0,Source Verified,debt_consolidation,15.36,0.0,662.0,1.0,10.0,1.0,11125.0,51.0,23.0,0
10000.0,36.0,9.49,320.29,B,B2,2.0,MORTGAGE,115000.0,Source Verified,debt_consolidation,9.98,1.0,702.0,0.0,11.0,0.0,5494.0,15.3,36.0,0
17250.0,60.0,17.86,436.73,D,D5,0.0,RENT,35000.0,Source Verified,debt_consolidation,26.99,0.0,697.0,1.0,5.0,0.0,10020.0,92.8,11.0,0
8000.0,36.0,13.99,273.39,C,C4,2.0,RENT,41000.0,Source Verified,moving,17.71,0.0,672.0,0.0,8.0,0.0,1467.0,77.2,20.0,0
15000.0,36.0,19.03,550.07,D,D3,10.0,MORTGAGE,41000.0,Source Verified,debt_consolidation,26.61,0.0,677.0,1.0,18.0,1.0,15748.0,43.4,27.0,0
10000.0,36.0,13.49,339.31,C,C2,2.0,MORTGAGE,113300.0,Not Verified,debt_consolidation,13.52,0.0,667.0,1.0,12.0,0.0,30909.0,58.8,28.0,0
8500.0,36.0,14.46,292.42,C,C4,6.0,RENT,40000.0,Verified,debt_consolidation,39.72,0.0,707.0,0.0,4.0,0.0,6450.0,99.2,9.0,0
14400.0,60.0,17.57,362.31,D,D4,10.0,RENT,81000.0,Source Verified,debt_consolidation,24.18,1.0,662.0,0.0,10.0,0.0,36323.0,78.6,35.0,1
21000.0,36.0,11.47,692.2,B,B5,9.0,MORTGAGE,54000.0,Verified,debt_consolidation,31.49,0.0,707.0,0.0,17.0,0.0,20610.0,34.5,32.0,0
22300.0,36.0,13.99,762.06,C,C4,10.0,RENT,48500.0,Verified,credit_card,19.33,0.0,687.0,0.0,11.0,0.0,32032.0,89.7,20.0,0
5025.0,36.0,16.99,179.13,D,D3,5.0,RENT,45000.0,Verified,debt_consolidation,2.94,0.0,742.0,0.0,10.0,0.0,5413.0,12.8,13.0,0
2000.0,36.0,14.99,69.33,C,C4,2.0,RENT,60000.0,Source Verified,other,13.56,0.0,667.0,1.0,13.0,0.0,8389.0,43.0,15.0,0
6000.0,36.0,12.12,199.63,B,B3,0.0,MORTGAGE,70000.0,Verified,major_purchase,13.34,0.0,682.0,0.0,5.0,0.0,9528.0,56.0,9.0,0
3000.0,36.0,15.61,104.9,D,D1,10.0,RENT,36000.0,Verified,vacation,31.0,0.0,682.0,0.0,9.0,0.0,13755.0,51.7,15.0,1
8000.0,36.0,6.49,245.16,A,A2,1.0,RENT,39000.0,Not Verified,debt_consolidation,20.98,0.0,692.0,0.0,20.0,1.0,9691.0,47.5,31.0,1
2500.0,36.0,15.41,87.17,D,D1,2.0,RENT,22800.0,Verified,other,15.42,0.0,697.0,1.0,16.0,0.0,2914.0,37.4,30.0,0
23500.0,60.0,19.05,610.25,D,D4,10.0,MORTGAGE,60000.0,Verified,debt_consolidation,26.1,1.0,702.0,1.0,10.0,0.0,52316.0,82.9,41.0,0
15000.0,60.0,18.06,381.4,D,D2,10.0,MORTGAGE,75000.0,Verified,other,18.48,0.0,707.0,0.0,21.0,0.0,13600.0,20.0,36.0,0
24000.0,36.0,11.99,797.03,C,C1,4.0,MORTGAGE,167000.0,Verified,home_improvement,13.54,0.0,722.0,0.0,8.0,2.0,6916.0,19.6,10.0,0
7000.0,36.0,16.02,246.17,C,C5,2.0,RENT,43000.0,Source Verified,debt_consolidation,27.91,0.0,687.0,0.0,20.0,1.0,6939.0,26.2,30.0,1
11800.0,36.0,17.57,424.06,D,D4,10.0,OWN,80000.0,Verified,home_improvement,24.59,0.0,667.0,0.0,12.0,0.0,7819.0,53.9,20.0,1
17000.0,36.0,6.49,520.96,A,A2,10.0,OWN,84429.0,Source Verified,credit_card,25.92,0.0,752.0,0.0,12.0,0.0,18800.0,33.8,20.0,0
6500.0,36.0,13.67,221.12,C,C3,1.0,RENT,30000.0,Source Verified,debt_consolidation,15.24,0.0,697.0,4.0,15.0,1.0,4239.0,18.0,21.0,0
17000.0,36.0,9.67,545.92,B,B1,5.0,MORTGAGE,110000.0,Not Verified,credit_card,5.32,1.0,677.0,0.0,9.0,0.0,19745.0,60.6,28.0,0
21000.0,36.0,10.15,679.1,B,B2,10.0,MORTGAGE,78000.0,Source Verified,debt_consolidation,20.97,0.0,712.0,1.0,17.0,1.0,26925.0,64.4,34.0,0
16000.0,36.0,12.99,539.03,C,C2,6.0,RENT,53000.0,Verified,credit_card,23.69,0.0,667.0,0.0,9.0,1.0,15830.0,85.6,19.0,0
35000.0,36.0,17.09,1249.42,D,D1,7.0,MORTGAGE,110000.0,Source Verified,home_improvement,13.37,3.0,697.0,4.0,15.0,0.0,7884.0,14.9,27.0,0
15000.0,60.0,9.17,312.62,B,B2,5.0,MORTGAGE,47000.0,Source Verified,debt_consolidation,13.99,0.0,722.0,0.0,14.0,0.0,10890.0,28.4,23.0,0
7475.0,36.0,11.99,248.25,C,C1,0.0,MORTGAGE,22000.0,Not Verified,debt_consolidation,23.95,0.0,662.0,1.0,12.0,0.0,7700.0,64.7,13.0,1
10000.0,36.0,7.26,309.97,A,A4,10.0,OWN,120000.0,Source Verified,credit_card,22.29,0.0,742.0,0.0,11.0,0.0,45955.0,76.1,20.0,0
28000.0,36.0,15.61,979.02,D,D1,10.0,RENT,74000.0,Source Verified,debt_consolidation,18.18,0.0,697.0,0.0,11.0,0.0,13491.0,56.0,14.0,1
10000.0,36.0,6.03,304.36,A,A1,10.0,MORTGAGE,103000.0,Not Verified,debt_consolidation,15.58,0.0,692.0,3.0,20.0,1.0,26235.0,49.9,35.0,0
14000.0,36.0,11.22,459.81,B,B5,4.0,RENT,47000.0,Verified,debt_consolidation,30.54,0.0,687.0,1.0,20.0,0.0,11543.0,79.1,24.0,0
6000.0,36.0,12.05,199.43,C,C1,10.0,MORTGAGE,122000.0,Source Verified,home_improvement,19.22,0.0,667.0,0.0,19.0,1.0,23291.0,77.1,39.0,0
27500.0,60.0,12.99,625.57,C,C1,9.0,MORTGAGE,66000.0,Verified,credit_card,24.64,0.0,697.0,0.0,23.0,0.0,30805.0,51.1,40.0,0
28000.0,36.0,8.9,889.09,A,A5,10.0,MORTGAGE,109000.0,Not Verified,credit_card,13.48,0.0,717.0,0.0,5.0,0.0,62841.0,83.8,17.0,0
23925.0,36.0,14.16,819.57,C,C2,0.0,OWN,57000.0,Verified,debt_consolidation,24.91,0.0,702.0,1.0,15.0,0.0,26031.0,47.4,30.0,1
9000.0,36.0,7.21,278.76,A,A3,7.0,MORTGAGE,99000.0,Not Verified,home_improvement,11.36,0.0,682.0,1.0,13.0,1.0,4598.0,7.3,45.0,0
12000.0,36.0,14.65,413.94,C,C2,6.0,MORTGAGE,57000.0,Not Verified,credit_card,11.96,0.0,682.0,1.0,12.0,0.0,14815.0,48.9,19.0,0
9000.0,36.0,10.65,293.16,B,B2,9.0,MORTGAGE,74000.0,Source Verified,credit_card,8.89,0.0,707.0,0.0,7.0,0.0,7388.0,71.7,10.0,0
22400.0,60.0,23.99,644.28,E,E4,8.0,RENT,100000.0,Source Verified,credit_card,12.05,0.0,742.0,0.0,6.0,0.0,9119.0,41.6,14.0,0
13500.0,60.0,22.47,376.48,E,E5,2.0,RENT,60000.0,Verified,debt_consolidation,16.32,0.0,697.0,3.0,20.0,0.0,12019.0,76.1,50.0,0
8000.0,36.0,10.75,260.97,B,B4,10.0,OWN,90000.0,Source Verified,home_improvement,4.74,0.0,672.0,1.0,6.0,0.0,22689.0,79.6,18.0,0
12000.0,36.0,9.17,382.55,B,B1,10.0,RENT,88000.0,Not Verified,debt_consolidation,26.52,0.0,712.0,1.0,8.0,0.0,1923.0,76.9,41.0,0
4000.0,36.0,11.98,132.82,B,B5,4.0,MORTGAGE,70000.0,Not Verified,credit_card,7.05,0.0,727.0,0.0,5.0,0.0,9882.0,65.9,5.0,0
19125.0,60.0,14.33,448.29,C,C2,10.0,RENT,60000.0,Source Verified,home_improvement,13.66,0.0,687.0,1.0,8.0,1.0,655.0,4.6,21.0,0
1800.0,36.0,15.61,62.94,D,D1,1.0,RENT,28000.0,Source Verified,credit_card,30.48,0.0,662.0,0.0,28.0,0.0,9728.0,79.1,31.0,1
12000.0,36.0,7.97,375.88,A,A5,2.0,RENT,55000.0,Not Verified,debt_consolidation,26.95,0.0,732.0,0.0,10.0,0.0,434.0,2.6,25.0,0
10000.0,36.0,6.49,306.45,A,A2,10.0,RENT,38000.0,Source Verified,credit_card,26.11,0.0,737.0,0.0,11.0,0.0,13248.0,38.4,38.0,0
18000.0,36.0,11.99,597.78,B,B5,0.0,MORTGAGE,65000.0,Source Verified,debt_consolidation,20.12,1.0,682.0,1.0,13.0,0.0,15052.0,78.8,24.0,0
6000.0,36.0,13.56,203.79,C,C1,7.0,MORTGAGE,32000.0,Not Verified,other,12.27,0.0,697.0,0.0,6.0,0.0,1706.0,21.9,13.0,0
12000.0,60.0,12.79,271.75,C,C1,9.0,MORTGAGE,130000.0,Verified,debt_consolidation,12.78,0.0,712.0,0.0,9.0,0.0,4304.0,19.7,19.0,0
10000.0,36.0,15.31,348.18,C,C2,10.0,MORTGAGE,48000.0,Verified,debt_consolidation,13.18,1.0,677.0,0.0,5.0,0.0,6416.0,75.5,14.0,1
12000.0,36.0,9.99,387.15,B,B3,3.0,RENT,95000.0,Source Verified,debt_consolidation,21.84,0.0,672.0,1.0,13.0,1.0,7251.0,58.5,39.0,1
12000.0,36.0,8.18,377.04,B,B1,4.0,MORTGAGE,96000.0,Source Verified,other,17.31,0.0,752.0,0.0,8.0,0.0,56207.0,30.3,14.0,0
9000.0,36.0,9.17,286.92,B,B2,3.0,RENT,101000.0,Verified,debt_consolidation,23.96,0.0,727.0,1.0,10.0,1.0,24139.0,41.3,26.0,1
6000.0,36.0,12.12,199.63,B,B3,4.0,RENT,50000.0,Not Verified,debt_consolidation,26.95,0.0,682.0,0.0,8.0,0.0,26833.0,88.0,19.0,0
11400.0,60.0,17.86,288.62,D,D5,10.0,RENT,42000.0,Source Verified,debt_consolidation,37.52,2.0,672.0,0.0,16.0,0.0,2809.0,24.9,23.0,1
